title,duration_seconds,durationText,date,videoId,url,keep
Learn Colors with Wrong Color Paw Patrol Sea Patrol Vehicles!,314,5:14,7-Aug-17,ksvM5TF6yvM,https://www.youtube.com/watch?v=ksvM5TF6yvM,y
Bob the Builder teams up with Paw Patrol pups to find Surprise Toys!,338,5:38,7-Aug-17,y_infTa_zY4,https://www.youtube.com/watch?v=y_infTa_zY4,y
Genevieve helps Kids Learn Colors with Rainbow Candy and Paw Patrol!,338,5:38,7-Aug-17,ot7bN22bIx4,https://www.youtube.com/watch?v=ot7bN22bIx4,y
Genevieve helps the Paw Patrol Pups feel Better!,392,6:32,7-Aug-17,yHTJUFVJMDg,https://www.youtube.com/watch?v=yHTJUFVJMDg,y
Paw Patrol Wind-Up Toys Race for the Championship!,394,6:34,7-Aug-17,Q5QwZBZAvJs,https://www.youtube.com/watch?v=Q5QwZBZAvJs,y
Let's Learn with Paw Patrol Weebles and Lighthouse Playset!,417,6:57,7-Aug-17,e0bGwPFVlQk,https://www.youtube.com/watch?v=e0bGwPFVlQk,y
Genevieve Plays with Paw Patrol Toy Weebles!,484,8:04,7-Aug-17,eXkwrv3Xm7I,https://www.youtube.com/watch?v=eXkwrv3Xm7I,y
Surprise Toys in Paw Patrol Rocky's Recycling Truck!,524,8:44,7-Aug-17,zAKHyVHJ910,https://www.youtube.com/watch?v=zAKHyVHJ910,y
Paw Patrol Sea Vehicles get painted the WRONG Colors!,557,9:17,7-Aug-17,xpcDcjxqSB4,https://www.youtube.com/watch?v=xpcDcjxqSB4,y
Paw Patrol Sea Patrol Toys Underwater Rescue Mission!,601,10:01,7-Aug-17,pXexZQ3nxDU,https://www.youtube.com/watch?v=pXexZQ3nxDU,y
The Paw Patrol pups are Sick! Can Doc McStuffins help them feel better?,610,10:10,7-Aug-17,sqJfUEXjhIU,https://www.youtube.com/watch?v=sqJfUEXjhIU,y
Learn Colors with Paw Patrol Ice Cream Scoops!,615,10:15,7-Aug-17,3z3wtlnCajw,https://www.youtube.com/watch?v=3z3wtlnCajw,y
"Paw Patrol help Build a Giant, Colorful Marble Maze!",618,10:18,7-Aug-17,NTrW6mOMPBA,https://www.youtube.com/watch?v=NTrW6mOMPBA,y
Paw Patrol Superheroes vs Romeo and his Evil Plan!,721,12:01,7-Aug-17,bv2EV2csvZU,https://www.youtube.com/watch?v=bv2EV2csvZU,y
Learn Colors and Shapes with Paw Patrol Cupcakes!,800,13:20,7-Aug-17,#NAME?,https://www.youtube.com/watch?v=-JpO7VfMO8U,y
Weeble Toy Treehouse featuring Paw Patrol Weebles!,853,14:13,7-Aug-17,T2swYGj8iis,https://www.youtube.com/watch?v=T2swYGj8iis,y
Paw Patrol Rescue Mission: Romeo's Giant Megazord & the My Size Lookout Tower!,1060,17:40,7-Aug-17,qzD3PGW23Dk,https://www.youtube.com/watch?v=qzD3PGW23Dk,y
Disney Cars Color Changing Vehicles and Paw Patrol Ice Cream!,1120,18:40,7-Aug-17,frJxVvb9bLg,https://www.youtube.com/watch?v=frJxVvb9bLg,y
Teach Kids Food Names with Pororo Refrigerator and Paw Patrol!,1146,19:06,7-Aug-17,oCbegRDxgak,https://www.youtube.com/watch?v=oCbegRDxgak,y
Paw Patrol Underwater Rescue and Superhero Movie!,1321,22:01,7-Aug-17,RhrKJvAKsGQ,https://www.youtube.com/watch?v=RhrKJvAKsGQ,y
Genevieve makes Toy Cupcakes for Paw Patrol with Icing and Sprinkles!,456,7:36,7-Aug-18,2MaUXeuAmtk,https://www.youtube.com/watch?v=2MaUXeuAmtk,y
Paw Patrol Skye's 🔴BIRTHDAY🔴 Animation for Kids!,484,8:04,7-Aug-18,EoMNT1TlxGE,https://www.youtube.com/watch?v=EoMNT1TlxGE,y
Genevieve Opens Paw Patrol Mini Boos Surprise Toys!,491,8:11,7-Aug-18,JVo0m2liD_4,https://www.youtube.com/watch?v=JVo0m2liD_4,y
