title,duration_seconds,duration,upload_date,view_count,maybe_compilation,videoId,url,keep
Tow truck tug of war challenge and power wheels tug of war tournament. How traction works | Kid Crew,190,3:10,,2100000,,lU3wnikQU5c,https://www.youtube.com/watch?v=lU3wnikQU5c,y
"Racing kids power wheels truck, tractor, and ride on race cars. Educational drag racing | Kid Crew",242,4:02,,6400000,,StnUHKseC5A,https://www.youtube.com/watch?v=StnUHKseC5A,y
Fixing our ride on power wheels 18V toy truck. Educational how gears work | Kid Crew,266,4:26,,3600000,,a96JrzYpvCE,https://www.youtube.com/watch?v=a96JrzYpvCE,y
Truck and tractor stuck in mud then washed. Educational how planes are cleaned & painted | Kid Crew,267,4:27,,7300000,,ZdklTDHzQIU,https://www.youtube.com/watch?v=ZdklTDHzQIU,y
Catching criminal with police car and drone after ATV chase. Educational | Kid Crew,272,4:32,,7500000,,#NAME?,https://www.youtube.com/watch?v=-KnTLuliOZw,y
Demolishing broken playset with toy construction trucks. Educational how excavators demo | Kid Crew,277,4:37,,4900000,,rezZP9M4TvE,https://www.youtube.com/watch?v=rezZP9M4TvE,y
Police dog mystery story finding stolen tractor. Educational how K-9 police work | Kid Crew,295,4:55,,8500000,,ZN9M7q94Xi4,https://www.youtube.com/watch?v=ZN9M7q94Xi4,y
Watering crops and fertilizing with kids tractor on the farm. Educational how pumps work | Kid Crew,300,5:00,,12000000,,RmpbG7KIVQE,https://www.youtube.com/watch?v=RmpbG7KIVQE,y
Rescuing stuck ice cream truck with kids off road truck. Educational bouncy houses | Kid Crew,303,5:03,,5300000,,cRhnvdCVjhc,https://www.youtube.com/watch?v=cRhnvdCVjhc,y
Kids use construction vehicles! Educational how excavators / diggers / backhoes work | Kid Crew,303,5:03,,4100000,,3bxoNTPsa1s,https://www.youtube.com/watch?v=3bxoNTPsa1s,y
Airplanes for kids with pretend play in a real cockpit. Educational how planes fly | Kid Crew,323,5:23,,4200000,,dDUxkuDuBEc,https://www.youtube.com/watch?v=dDUxkuDuBEc,y
