title,animal,season,episode,copies,durationText,durationSeconds,videoId,url,mergedVideoIds
🌿 The Giant Kelp Forest 🌱,Giant Kelp Forest,1,2,2,10:15,615,XiL-WSYd0ek,https://www.youtube.com/watch?v=XiL-WSYd0ek,jAdliI-cpnY
🥰 The Baby Dolphin 🐬,Baby Dolphin,1,8,1,10:16,616,4Ie4IBzvA6E,https://www.youtube.com/watch?v=4Ie4IBzvA6E,
🌊 The Whale Shark 🦈,Whale Shark,1,10,3,10:16,616,GRhNusqztiM,https://www.youtube.com/watch?v=GRhNusqztiM,XFaIRGkz214;8vfPkKwEvMk
The Albino Humpback Whale 🐋,Albino Humpback Whale,1,11,3,10:15,615,1zF-lEypSLA,https://www.youtube.com/watch?v=1zF-lEypSLA,fjsktF-YRGk;#NAME?
🔊 The Snapping Shrimp 🦞,Snapping Shrimp,1,15,2,10:16,616,qh5gEJN3roE,https://www.youtube.com/watch?v=qh5gEJN3roE,sHU_8L5w2l8
🧛 The Vampire Squid 🦑,Vampire Squid,1,17,2,10:15,615,DH2vqSwhV-I,https://www.youtube.com/watch?v=DH2vqSwhV-I,1ALUIfo-bGM
The Helpful Pilot Fish,Helpful Pilot Fish,1,21,1,10:00,600,K005LoG_njE,https://www.youtube.com/watch?v=K005LoG_njE,
🍃 The Great Algae Escape ⛑️,Great Algae Escape,1,25,2,10:15,615,6pzrRwjjTMA,https://www.youtube.com/watch?v=6pzrRwjjTMA,iiFy3pi5rqk
🪸 The Combtooth Blenny 🐠,Combtooth Blenny,1,27,1,10:16,616,ptGEyCeBZB8,https://www.youtube.com/watch?v=ptGEyCeBZB8,
🐘 The Enormous Elephant Seal 🦭,Enormous Elephant Seal,1,29,3,10:16,616,qC6MR4xDb4I,https://www.youtube.com/watch?v=qC6MR4xDb4I,uqm849NqVls;wMWxsb1Rte8
🐚 The Lost Sea Star ⭐,Lost Sea Star,1,32,2,10:15,615,b0OsO6V-l2M,https://www.youtube.com/watch?v=b0OsO6V-l2M,sb3x3XlCk6E
🐟 The Blobfish Brothers 🐟,Blobfish Brothers,1,33,3,10:16,616,TvNXo9gMn6Q,https://www.youtube.com/watch?v=TvNXo9gMn6Q,4ORNC418LR4;5s0efArM-Hs
🐋 The Beluga Whales 🌊,Beluga Whales,1,34,3,10:16,616,bV23-4IsMzU,https://www.youtube.com/watch?v=bV23-4IsMzU,V4h2DR21nSw;WXGBrNoVAAM
🙀 The Scary Spookfish 🐠,Scary Spookfish,1,35,1,10:16,616,WSndfzYjS1w,https://www.youtube.com/watch?v=WSndfzYjS1w,
The Giant Jellyfish,Giant Jellyfish,1,38,1,10:00,600,418nY7-0veE,https://www.youtube.com/watch?v=418nY7-0veE,
🍪 The Cookiecutter Sharks 🦈,Cookiecutter Sharks,1,39,2,10:16,616,I7Tfnva9CFk,https://www.youtube.com/watch?v=I7Tfnva9CFk,bzLk3QfWbZQ
🐟 The Sardine School 🏫,Sardine School,1,40,2,10:15,615,TpPazYtthzk,https://www.youtube.com/watch?v=TpPazYtthzk,kR_hOYidF6o
🪸 The Marine Iguanas 🦎,Marine Iguanas,1,41,3,10:16,616,BSXgO75J1ds,https://www.youtube.com/watch?v=BSXgO75J1ds,2kvMiBZLqHM;gC3CymszlkA
🧊 The Arctic Orcas 🐳,Arctic Orcas,1,43,2,10:16,616,28z79MWP0CY,https://www.youtube.com/watch?v=28z79MWP0CY,0cI4GpHaCi4
🐬 The Dolphin Reef Rescue  ⛑️,Dolphin Reef Rescue,1,44,2,10:16,616,vPzX02UNu3M,https://www.youtube.com/watch?v=vPzX02UNu3M,VAbhLZnxwHE
🏴‍☠️ The Pirate Parrotfish 🐠,Pirate Parrotfish,1,46,3,10:16,616,MGk7QtNwFoE,https://www.youtube.com/watch?v=MGk7QtNwFoE,W3E-ndFqaK4;FSBi8h0ojoo
✨The Dwarf Lanternshark 🦈,Dwarf Lanternshark,1,47,1,10:16,616,wYu24hv5y_A,https://www.youtube.com/watch?v=wYu24hv5y_A,
🪸 The Crafty Crafty Cuttlefish 🐠,Crafty Crafty Cuttlefish,1,48,2,10:16,616,mirholq3v1E,https://www.youtube.com/watch?v=mirholq3v1E,LLdZs7VFg_E
🐠 The Humuhumunukunukuapua’a 🐠,Humuhumunukunukuapua’a,1,49,2,10:16,616,XYprkBf9574,https://www.youtube.com/watch?v=XYprkBf9574,bBWzhKthwfE
⚡ The Electric Torpedo Rays 🐠,Electric Torpedo Rays,1,50,2,10:16,616,xHpr03CHTyQ,https://www.youtube.com/watch?v=xHpr03CHTyQ,iofVYXMpV2s
🐙 The Mysterious Monster Treasure Map 🗺️,Mysterious Monster Treasure Map,1,,1,10:16,616,QEt982QMatY,https://www.youtube.com/watch?v=QEt982QMatY,
👻 The Enormous Ghost Whale 🐋,Enormous Ghost Whale,1,,1,10:15,615,EXA6Ig4MU34,https://www.youtube.com/watch?v=EXA6Ig4MU34,
👻 The Scary Glowfish 🐠,Scary Glowfish,1,,1,10:16,616,gYuVA5vo4wk,https://www.youtube.com/watch?v=gYuVA5vo4wk,
💦 The Giant Squid 🦑,Giant Squid,1,,1,10:16,616,ZffZzHupUjk,https://www.youtube.com/watch?v=ZffZzHupUjk,
🕷️ The Enormous Spider Crab Monster  🦀,Enormous Spider Crab Monster,1,,1,10:16,616,G2yfdf4_SA4,https://www.youtube.com/watch?v=G2yfdf4_SA4,
🧛‍♂️ The Scared Vampire Squid 🦑,Scared Vampire Squid,1,,1,10:15,615,0sqM3fV0QCY,https://www.youtube.com/watch?v=0sqM3fV0QCY,
🪸 The Mysterious Cuttlefish 🐠,Mysterious Cuttlefish,1,,1,10:16,616,25JRcfOIJps,https://www.youtube.com/watch?v=25JRcfOIJps,
✨ The Remipedes ⛰️,Remipedes,1,,1,10:16,616,faYE34vDSJY,https://www.youtube.com/watch?v=faYE34vDSJY,
⚓ The Slime Eels 🪱,Slime Eels,1,,1,10:16,616,QObWgTngKko,https://www.youtube.com/watch?v=QObWgTngKko,
Lemon Shark Rescue 🦈🍋⛑️,Lemon Shark Rescue,1,,1,10:16,616,5eqmLdougZo,https://www.youtube.com/watch?v=5eqmLdougZo,
🌀 The Undersea Storm 🌪️,Undersea Storm,1,,2,10:16,616,Lad1KMClsV8,https://www.youtube.com/watch?v=Lad1KMClsV8,uX2bcW5cKSM
🌊🐴 The Seahorse Love Tale 💕,Seahorse Love Tale,1,,2,10:15,615,g7TVgsE4ns8,https://www.youtube.com/watch?v=g7TVgsE4ns8,C0OygvAXugc
🌿 The Kelp Forest Rescue 🐚,Kelp Forest Rescue,1,,1,10:16,616,2Q1wKmDIwRM,https://www.youtube.com/watch?v=2Q1wKmDIwRM,
