title,duration_seconds,duration,upload_date,view_count,maybe_compilation,videoId,url,keep
Octonauts - The Red Rock Crabs  ,598,9:58,,1200000,,_vGxbvRmuno,https://www.youtube.com/watch?v=_vGxbvRmuno,
Octonauts - The Urchin Invasion  ,598,9:58,,8400000,,9g0Nj8RIpfg,https://www.youtube.com/watch?v=9g0Nj8RIpfg,
Octonauts - The Barracudas  ,599,9:59,,1200000,,iym0kCLj3ZU,https://www.youtube.com/watch?v=iym0kCLj3ZU,
Octonauts - The Duck Billed Platypus  ,599,9:59,,2400000,,6Py2ITJwuf0,https://www.youtube.com/watch?v=6Py2ITJwuf0,
Octonauts - The Harbour Seals  ,599,9:59,,1100000,,9q-Z0bKkpwE,https://www.youtube.com/watch?v=9q-Z0bKkpwE,
Octonauts - The Humpback Whales  ,599,9:59,,2200000,,HC2PDBt4ID8,https://www.youtube.com/watch?v=HC2PDBt4ID8,
Octonauts - The Immortal Jellyfish  ,599,9:59,,3700000,,ZiLWrw-1GM8,https://www.youtube.com/watch?v=ZiLWrw-1GM8,
Octonauts - The Lion's Mane Jellyfish  ,599,9:59,,6400000,,jnWaL2Rd0Vs,https://www.youtube.com/watch?v=jnWaL2Rd0Vs,
Octonauts - The Mudskippers  ,599,9:59,,1600000,,BC37r3OB45s,https://www.youtube.com/watch?v=BC37r3OB45s,
Octonauts - The Pelicans  ,599,9:59,,4700000,,T3eIK9g5dyM,https://www.youtube.com/watch?v=T3eIK9g5dyM,
Octonauts - The Sea Pigs  ,599,9:59,,4500000,,WdOD_kmAihw,https://www.youtube.com/watch?v=WdOD_kmAihw,
Octonauts - The Sea Skaters  ,599,9:59,,473000,,MGN2wlRZKEg,https://www.youtube.com/watch?v=MGN2wlRZKEg,
Octonauts - The Sea Sponge  ,599,9:59,,6100000,,MWZ-aJ3Sl3Q,https://www.youtube.com/watch?v=MWZ-aJ3Sl3Q,
Octonauts - The Yeti Crab  ,599,9:59,,1600000,,dyaYOUnS5fc,https://www.youtube.com/watch?v=dyaYOUnS5fc,
​Octonauts - The Slippery Slime Eels | Full Episode 26 ,600,10:00,,223000,yes,WimtbR5j1EU,https://www.youtube.com/watch?v=WimtbR5j1EU,
Octonauts -  Beluga Whales | Full Episode 34  ,600,10:00,,228000,yes,V4h2DR21nSw,https://www.youtube.com/watch?v=V4h2DR21nSw,
Octonauts -  The Enormous Elephant Seal | Full Episode 29 ,600,10:00,,358000,yes,uqm849NqVls,https://www.youtube.com/watch?v=uqm849NqVls,
Octonauts  - The Giant Kelp Forest | Full Episode 2  ,600,10:00,,414000,yes,jAdliI-cpnY,https://www.youtube.com/watch?v=jAdliI-cpnY,
Octonauts -  The Whale Shark | Full Episode 10  ,600,10:00,,2800000,yes,XFaIRGkz214,https://www.youtube.com/watch?v=XFaIRGkz214,
Octonauts - Albino Humpback Whale | Full Episode ,600,10:00,,12000000,yes,fjsktF-YRGk,https://www.youtube.com/watch?v=fjsktF-YRGk,
Octonauts - Baby Dolphin Rescue | Full Episode 8  ,600,10:00,,333000,yes,kXYwjm-_K7Q,https://www.youtube.com/watch?v=kXYwjm-_K7Q,
Octonauts - Beluga Whales | Full Episode ,600,10:00,,2500000,yes,WXGBrNoVAAM,https://www.youtube.com/watch?v=WXGBrNoVAAM,
Octonauts - Blobfish Brothers | Full Episode ,600,10:00,,1200000,yes,4ORNC418LR4,https://www.youtube.com/watch?v=4ORNC418LR4,
Octonauts - Cave of the Remipedes | Full Episode 13  ,600,10:00,,272000,yes,mQ3NNQZOtqg,https://www.youtube.com/watch?v=mQ3NNQZOtqg,
Octonauts - Chasing the Flying Fish | Full Episode 22  ,600,10:00,,312000,yes,46s_vViF_LM,https://www.youtube.com/watch?v=46s_vViF_LM,
Octonauts - Crafty Cuttlefish | Full Episode ,600,10:00,,8300000,yes,p6p75LeYkK0,https://www.youtube.com/watch?v=p6p75LeYkK0,
Octonauts - Dashi to the Rescue! | #DayoftheGirl  ,600,10:00,,117000,yes,7dygDaA7q7M,https://www.youtube.com/watch?v=7dygDaA7q7M,
Octonauts - Giant Jelly | Full Episode ,600,10:00,,3200000,yes,cu1uSqCPF18,https://www.youtube.com/watch?v=cu1uSqCPF18,
Octonauts - Land of the Walruses | Full Episode 30  ,600,10:00,,229000,yes,Iy_K6gLNWUk,https://www.youtube.com/watch?v=Iy_K6gLNWUk,
Octonauts - Needle Noses ,600,10:00,,111000,yes,0QMUyXdhpDQ,https://www.youtube.com/watch?v=0QMUyXdhpDQ,
Octonauts - Pirate Parrotfish | Full Episode ,600,10:00,,2800000,yes,W3E-ndFqaK4,https://www.youtube.com/watch?v=W3E-ndFqaK4,
Octonauts - Sailing with Speedy Sailfish | Full Episode 24 ,600,10:00,,228000,yes,aTUcehFAKg8,https://www.youtube.com/watch?v=aTUcehFAKg8,
Octonauts - Slippery Snot Cucumber | Full Episode 7  ,600,10:00,,676000,yes,xQu3wfkfbl0,https://www.youtube.com/watch?v=xQu3wfkfbl0,
Octonauts - Surrounded by Jellyfish | Full Episode 36 ,600,10:00,,135000,yes,OI79f_DFBdA,https://www.youtube.com/watch?v=OI79f_DFBdA,
Octonauts - The Albino Humpback Whale | Full Episode 11 ,600,10:00,,7700000,yes,#NAME?,https://www.youtube.com/watch?v=-EbYa08k6So,
Octonauts - The Arctic Narwhal | Full Episode 20  ,600,10:00,,334000,yes,x7P4vi_y0sI,https://www.youtube.com/watch?v=x7P4vi_y0sI,
Octonauts - The Artificial Reef  ,600,10:00,,1000000,yes,gMPD0mfZ_Ec,https://www.youtube.com/watch?v=gMPD0mfZ_Ec,
Octonauts - The Baby Sea Turtles  ,600,10:00,,1700000,yes,TlXC40_WLdE,https://www.youtube.com/watch?v=TlXC40_WLdE,
Octonauts - The Beautiful Seahorse Tale | Full Episode 31 ,600,10:00,,278000,yes,_Bnc7_J0TVc,https://www.youtube.com/watch?v=_Bnc7_J0TVc,
Octonauts - The Blobfish Brothers | Full Episode 33  ,600,10:00,,154000,yes,5s0efArM-Hs,https://www.youtube.com/watch?v=5s0efArM-Hs,
Octonauts - The Carrier Crab & the Sea Urchin | Full Episode 18 ,600,10:00,,460000,yes,Ug4QluSvEus,https://www.youtube.com/watch?v=Ug4QluSvEus,
Octonauts - The Cone Snail  ,600,10:00,,13000000,yes,DCkVS9JVGR0,https://www.youtube.com/watch?v=DCkVS9JVGR0,
Octonauts - The Convict Fish  ,600,10:00,,1100000,yes,r79XcoNZHDw,https://www.youtube.com/watch?v=r79XcoNZHDw,
Octonauts - The Dwarf Lantern Shark | Full Episode ,600,10:00,,1600000,yes,uCnbKWqMd-4,https://www.youtube.com/watch?v=uCnbKWqMd-4,
Octonauts - The Eel Ordeal | Full Episode ,600,10:00,,1800000,yes,L3JG4QlEBkw,https://www.youtube.com/watch?v=L3JG4QlEBkw,
Octonauts - The Emperor Penguins  ,600,10:00,,6500000,yes,S7LmO6TtsHQ,https://www.youtube.com/watch?v=S7LmO6TtsHQ,
Octonauts - The Enormous Elephant Seal | Full Episode ,600,10:00,,4200000,yes,wMWxsb1Rte8,https://www.youtube.com/watch?v=wMWxsb1Rte8,
Octonauts - The Fiery Anemones | Full Episode 23  ,600,10:00,,398000,yes,5Cf49ek4kq4,https://www.youtube.com/watch?v=5Cf49ek4kq4,
Octonauts - The Giant Jellyfish | Full Episode 38  ,600,10:00,,356000,yes,418nY7-0veE,https://www.youtube.com/watch?v=418nY7-0veE,
Octonauts - The Giant Whirlpool  Full Episode ,600,10:00,,1600000,yes,SBny_0RbVuc,https://www.youtube.com/watch?v=SBny_0RbVuc,
