title,duration_seconds,durationText,date,videoId,url,keep
Maverick Hurt His Wing! Skye & Rex Save the Dino! 🚁 | PAW Patrol | Compilation,1506,25:06,6 Aug 2026,v6sY4V8nluA,https://www.youtube.com/watch?v=v6sY4V8nluA,
The PAW Patrol Discovers the Legendary Elephant Spa! 🌴| PAW Patrol | 2 Hour Compilation,7776,2:09:36,6 Aug 2026,HjjE34SilVw,https://www.youtube.com/watch?v=HjjE34SilVw,
Help the Pups Save Mayor Humdinger! 🎩🐈 | PAW Patrol PAWSE & PLAY | Interactive Video for Kids,187,3:07,6 Aug 2026,7Di2Dl2Q4Yw,https://www.youtube.com/watch?v=7Di2Dl2Q4Yw,
The Coconut Catapult Goes Wild!  🥥🐵 | PAW Patrol | Compilation,3804,1:03:24,5 Aug 2026,rUTGIBFYNU0,https://www.youtube.com/watch?v=rUTGIBFYNU0,
PUPS ASSEMBLED: Rocky Reports for Dino Duty! | PAW Patrol | Compilation,1200,20:00,4 Aug 2026,wrLv0lU27Z0,https://www.youtube.com/watch?v=wrLv0lU27Z0,
Baby Dinos ESCAPE! 🦕 | PAW Patrol | Compilation,3678,1:01:18,3 Aug 2026,oT94Sw-FsNo,https://www.youtube.com/watch?v=oT94Sw-FsNo,
A Crash Is Seconds Away! Rocky Acts Fast! 🚂💥 | PAW Patrol | FULL Episode Compilation,2082,34:42,3 Aug 2026,72C1IWOdL7Y,https://www.youtube.com/watch?v=72C1IWOdL7Y,
Volcano Pollution Solution | PAW Patrol | Toy Play for Kids,2325,38:45,2 Aug 2026,xUZSEUeiOVk,https://www.youtube.com/watch?v=xUZSEUeiOVk,
Big Mistake! Humdinger Beamed into a UFO! 👽 | PAW Patrol | Compilation,4388,1:13:08,2 Aug 2026,1HH5oaMjzc4,https://www.youtube.com/watch?v=1HH5oaMjzc4,
A Pup Like Me! 😊🐶 | Official PAW Patrol Music Video 🎶 | Songs for Kids,45,0:45,1 Aug 2026,OT243JYHIlM,https://www.youtube.com/watch?v=OT243JYHIlM,
PUPS ASSEMBLED: Zuma Reports for Dino Duty! | PAW Patrol | Compilation,1352,22:32,1 Aug 2026,NulhgeDnc_A,https://www.youtube.com/watch?v=NulhgeDnc_A,
Marshall Saves the Surprise Birthday Bash! | PAW Patrol | Compilation,5211,1:26:51,31 Jul 2026,PohhrF_TVUg,https://www.youtube.com/watch?v=PohhrF_TVUg,
The Bridge Is Burning! Marshall to the Rescue! 🔥 | PAW Patrol | 2 HOUR Compilation,7771,2:09:31,30 Jul 2026,mn87b2UPuCs,https://www.youtube.com/watch?v=mn87b2UPuCs,
T-Rex Tyke in Danger! 🦖 Chase to the Rescue! | PAW Patrol | Compilation,3678,1:01:18,29 Jul 2026,qwvub4JGO9M,https://www.youtube.com/watch?v=qwvub4JGO9M,
PUPS ASSEMBLED: Skye Reports for Dino Duty! | PAW Patrol | Compilation,1496,24:56,28 Jul 2026,MB28PXmSsYQ,https://www.youtube.com/watch?v=MB28PXmSsYQ,
Dino on the Loose! Can Chase Find Him? 🦕 | PAW Patrol | Compilation,3678,1:01:18,27 Jul 2026,q4kHo2cZfnE,https://www.youtube.com/watch?v=q4kHo2cZfnE,
Runaway Birthday Cake! 🎂 Rubble Saves the Tasty Treat! | PAW Patrol | FULL Episode Compilation,2084,34:44,27 Jul 2026,hbIgTkhNvL8,https://www.youtube.com/watch?v=hbIgTkhNvL8,
